,artist.inverted,track,time,genre,date.entered,date.peaked,week,rank
0,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,1.0,78.0
1,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,2.0,63.0
2,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,3.0,49.0
3,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,4.0,33.0
4,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,5.0,23.0
5,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,6.0,15.0
6,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,7.0,7.0
7,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,8.0,5.0
8,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,9.0,1.0
9,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,10.0,1.0
10,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,11.0,1.0
11,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,12.0,1.0
12,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,13.0,1.0
13,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,14.0,1.0
14,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,15.0,1.0
15,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,16.0,1.0
16,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,17.0,1.0
17,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,18.0,1.0
18,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,19.0,1.0
19,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,20.0,2.0
20,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,21.0,3.0
21,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,22.0,7.0
22,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,23.0,10.0
23,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,24.0,12.0
24,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,25.0,15.0
25,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,26.0,22.0
26,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,27.0,29.0
27,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28.0,31.0
28,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,1.0,15.0
29,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,2.0,8.0
30,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,3.0,6.0
31,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,4.0,5.0
32,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,5.0,2.0
33,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,6.0,3.0
34,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,7.0,2.0
35,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,8.0,2.0
36,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,9.0,1.0
37,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,10.0,1.0
38,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,11.0,1.0
39,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,12.0,1.0
40,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,13.0,1.0
41,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,14.0,1.0
42,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,15.0,1.0
43,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,16.0,1.0
